time,mouse_x,mouse_y
1712572269.637,496,1151
1712572270.639,496,1151
1712572271.641,496,1151
1712572272.643,496,1151
1712572273.645,496,1151
1712572274.647,496,1151
1712572275.655,496,1151
1712572276.657,496,1151
1712572277.659,496,1151
1712572278.661,496,1151
1712572279.662,496,1151
1712572280.664,496,1151
1712572281.666,496,1151
1712572282.668,496,1151
1712572283.670,496,1151
1712572284.672,496,1151
1712572285.673,496,1151
1712572286.675,496,1151
1712572287.677,496,1151
1712572288.679,496,1151
1712572289.681,496,1151
1712572290.683,496,1151
1712572291.685,470,950
1712572292.686,874,637
1712572293.693,1110,745
1712572294.695,1155,737
1712572295.697,1156,738
1712572296.699,1157,747
1712572297.701,1157,750
1712572298.703,1162,748
1712572299.705,1160,748
1712572300.719,1160,748
1712572301.722,1157,739
1712572302.724,1153,733
1712572303.729,1157,749
1712572304.731,1157,750
1712572305.745,1157,750
1712572306.749,1154,743
1712572307.769,1154,743
1712572308.771,1154,743
1712572309.772,1154,743
1712572310.774,1154,743
1712572311.787,1174,754
1712572312.802,1174,753
1712572313.804,1174,753
1712572314.806,1174,753
1712572315.819,1174,753
1712572316.821,1174,753
1712572317.823,1174,753
1712572318.825,1174,753
1712572319.834,1793,845
1712572320.836,1735,823
1712572321.856,1735,823
1712572322.858,1735,823
1712572323.860,1742,811
1712572324.869,1899,614
1712572325.871,1898,649
1712572326.883,1897,656
1712572327.885,1918,254
1712572328.896,958,715
1712572329.898,877,732
1712572330.905,868,675
1712572331.907,1042,684
1712572332.909,1043,694
1712572333.927,1041,694
1712572334.928,1044,700
1712572335.937,1044,700
1712572336.939,951,694
1712572337.940,925,694
1712572338.942,931,699
1712572339.944,939,696
1712572340.946,1095,644
1712572341.948,1103,665
1712572342.950,1108,654
1712572343.951,1128,630
1712572344.953,1128,630
1712572345.955,1128,630
1712572346.957,1128,630
1712572347.965,1128,630
1712572348.987,1128,630
1712572349.989,1128,630
1712572350.998,1128,630
1712572352.000,1128,630
1712572353.001,1128,630
1712572354.003,1128,630
1712572355.005,1128,630
1712572356.007,1128,630
1712572357.009,1128,630
1712572358.025,1128,630
1712572359.028,1128,630
1712572360.030,1128,630
1712572361.036,1128,630
1712572362.046,1128,630
1712572363.048,1128,630
1712572364.050,1128,630
1712572365.052,1128,630
1712572366.054,1128,630
1712572367.066,1128,630
1712572368.084,1128,630
1712572369.099,1128,630
1712572370.103,1128,630
1712572371.106,1128,630
1712572372.107,1128,630
1712572373.109,1128,630
1712572374.111,1128,630
1712572375.113,1128,630
1712572376.115,1128,630
1712572377.117,1128,630
1712572378.118,1128,630
1712572379.120,1128,630
1712572380.128,1128,630
1712572381.130,1128,630
1712572382.131,1128,630
1712572383.133,1128,630
1712572384.135,1128,630
1712572385.137,1128,630
1712572386.143,1128,630
1712572387.171,1128,630
1712572388.173,1128,630
1712572389.175,1128,630
1712572390.177,1128,630
1712572391.179,1128,630
1712572392.180,1128,630
1712572393.182,1128,630
1712572394.191,1128,630
1712572395.199,1128,630
1712572396.201,1287,447
1712572397.203,1287,447
1712572398.205,1287,447
1712572399.207,1287,447
1712572400.209,1287,447
1712572401.210,1287,447
1712572402.212,1287,447
1712572403.215,1287,447
1712572404.216,1287,447
1712572405.218,1287,447
1712572406.220,1287,447
1712572407.222,1287,447
1712572408.224,1287,447
1712572409.225,1287,447
1712572410.227,1287,447
1712572411.229,1287,447
1712572412.231,1287,447
1712572413.233,1287,447
1712572414.235,1287,447
1712572415.237,1287,447
1712572416.239,1287,447
1712572417.241,1287,447
1712572418.243,1287,447
1712572419.245,1287,447
1712572420.255,1287,447
